,Dataset,iteration,isMasked,threshold,MALE_test,RMSE_test,MAPE_test,MALE_train,RMSE_train,MAPE_train
0,kc,1,False,0.1,0.11307654146088189,122757.61120299605,7.92295581896553,0.1060838697072676,100310.81555324719,7.363128688524602
0,kc,1,True,0.01,0.11238191008607867,119502.07135693733,7.93232322956072,0.10667002038561009,97775.344678278,7.447760517473114
0,kc,1,True,0.05,0.11276390618768364,130335.5912084757,8.041765106515625,0.10296589891606177,95688.15505520222,7.078429457749465
0,kc,1,True,0.1,0.1119959057434626,116658.5970762481,7.8558085438223415,0.10398051700735175,97177.29575535048,7.217262652853193
0,kc,1,True,0.2,0.11120627226821528,115277.84687840944,7.786354910714274,0.10419955209037994,96525.09349092978,7.1664784680174325
0,kc,1,True,0.35,0.11265204711027005,132596.02759177022,7.742242528328255,0.10242624100063225,95161.01413558701,6.987625124961118
0,kc,1,True,0.6,0.11259713233209862,128975.65972232794,7.990777210884356,0.10188252961458176,94211.51978992674,6.945856929417133
0,kc,1,True,0.8,0.1128490193504717,119400.40581005388,7.874420524112932,0.10249673330534294,95296.03765828827,7.02905525330046
0,kc,1,True,1.0,0.11386089879944747,126114.66794128048,7.987485069444427,0.10459820244889324,97456.66843049657,7.130461339570153
0,kc,2,True,1.0,0.11227099904956253,117117.31574393503,7.981213575877619,0.10434427776052793,98027.10764877491,7.160951597744332
0,kc,2,True,0.01,0.11257836082116596,114873.14082102946,7.973295712061676,0.10114709117977255,93669.18511846864,6.897050802138987
0,kc,2,True,0.05,0.11180340626671156,121333.26188040103,7.87088430046961,0.10323937576079475,97027.26170773529,7.103613839958596
0,kc,2,True,0.1,0.11285920348572753,116400.07382870211,8.0235587184035,0.1059446211596225,97551.11549352756,7.399125132775805
0,kc,2,True,0.2,0.11293533757399463,117518.42917266815,7.922259962860995,0.10721241984171273,99939.34246477112,7.474783410115007
0,kc,2,True,0.35,0.11237295684657286,115816.04153554555,8.038644959818322,0.10481364797132954,96883.51959885006,7.248586336378684
0,kc,2,True,0.6,0.11400557034726459,129617.50833199458,7.973535911560818,0.10248152891128307,96270.25584729703,6.977656618399425
0,kc,2,True,0.8,0.1131947122254492,109745.70088691649,8.032166215170273,0.10818740688774203,102341.55489728968,7.542432692307694
0,kc,2,True,1.0,0.11252057595312517,117238.82147470342,8.016325562036295,0.10385346977510601,96004.74930748146,7.0992535310735
0,kc,3,True,1.0,0.11472861874660183,120860.36125012979,8.187068135285605,0.10206981829103245,93918.99048890134,6.996645052860176
0,kc,3,True,0.01,0.11302783107049405,111566.83061796051,7.95796723136879,0.10323500836089743,97666.56947727867,7.1040266395080875
0,kc,3,True,0.05,0.11322221900317347,108691.6359138767,8.109949481697619,0.10431656818545453,96289.09249298857,7.277616353849062
0,kc,3,True,0.1,0.11314176292940746,107342.36244196777,7.976955250049447,0.10747947384991943,101645.2693536289,7.499742995992756
0,kc,3,True,0.2,0.11155563157241459,120191.23278588618,7.722105951086888,0.10440605577706923,97753.26649180496,7.247766402130215
0,kc,3,True,0.35,0.11181674006220668,121663.47079273412,8.012007379467125,0.10228047563200766,96631.81274975407,6.986797370313863
0,kc,3,True,0.6,0.11237526041634799,117862.25603311553,7.832628640787726,0.10316755783903037,94876.11983790906,7.1186361373348035
0,kc,3,True,0.8,0.11238225653288754,110737.98993606062,7.929529017857134,0.10424817391874737,96553.64168932261,7.215956912878784
0,kc,3,True,1.0,0.11335688925175134,121532.32666130034,8.119023057203982,0.10658238234392628,102152.66429115809,7.460224028143587
0,kc,4,True,1.0,0.11336056536448942,115898.16037761756,8.064009595648619,0.10481682327637665,98412.16494097371,7.25155952928053
0,kc,4,True,0.01,0.11234498944192416,124302.17662479551,7.93697000915754,0.104773421465945,97615.68567502251,7.2370865832789315
0,kc,4,True,0.05,0.11255896970841835,120082.81822460642,7.8323589572192445,0.10346248176387128,97592.03479109461,7.113947609282848
0,kc,4,True,0.1,0.11248398898650241,131721.81106462196,7.803083750597279,0.10394792216432251,99535.96726401162,7.143752195550331
